ycc,xcc,y,x
0,-14.5,0,0.5
0,-14,0,1
0,-13.5,0,1.5
0,-13,0,2
0,-12.5,0,2.5
0,-12,0,3
0,-11.5,0,3.5
0,-11,0,4
0,-10.5,0,4.5
0,-10,0,5
0,-9.5,0,5.5
0,-9,0,6
0,-8.5,0,6.5
0,-8,0,7
0,-7.5,0,7.5
0,-7,0,8
0,-6.5,0,8.5
0,-6,0,9
0,-5.5,0,9.5
0,-5,0,10
0,-4.5,0,10.5
0,-4,0,11
0,-3.5,0,11.5
0,-3,0,12
0,-2.5,0,12.5
0,-2,0,13
0,-1.5,0,13.5
0,-1,0,14
0,-0.5,0,14.5
0,0,0,15
0,1.12E-15,0,15
0.013695203,0.499749834,-0.013695203,15.49974983
0.054739703,0.997999575,-0.054739703,15.99799958
0.123010298,1.493253633,-0.123010298,16.49325363
0.218302061,1.984025408,-0.218302061,16.98402541
0.340328955,2.468841757,-0.340328955,17.46884176
0.488724693,2.946247413,-0.488724693,17.94624741
0.663043838,3.414809353,-0.663043838,18.41480935
0.862763138,3.873121099,-0.862763138,18.8731211
1.087283099,4.319806942,-1.087283099,19.31980694
1.33592978,4.753526072,-1.33592978,19.75352607
1.607956823,5.172976597,-1.607956823,20.1729766
1.902547687,5.576899459,-1.902547687,20.57689946
2.218818101,5.964082207,-2.218818101,20.96408221
2.555818721,6.33336264,-2.555818721,21.33336264
2.912537976,6.683632291,-2.912537976,21.68363229
3.287905106,7.013839761,-3.287905106,22.01383976
3.680793375,7.32299387,-3.680793375,22.32299387
4.090023456,7.610166634,-4.090023456,22.61016663
4.514366967,7.87449605,-4.514366967,22.87449605
4.952550162,8.115188682,-4.952550162,23.11518868
5.40325775,8.331522047,-5.40325775,23.33152205
5.865136849,8.52284678,-5.865136849,23.52284678
6.336801042,8.688588583,-6.336801042,23.68858858
6.816834538,8.828249951,-6.816834538,23.82824995
7.303796428,8.941411664,-7.303796428,23.94141166
7.796225003,9.027734046,-7.796225003,24.02773405
8.292642147,9.086957984,-8.292642147,24.08695798
8.79155777,9.118905706,-8.79155777,24.11890571
9.291474282,9.123481315,-9.291474282,24.12348132
9.79089109,9.100671077,-9.79089109,24.10067108
10.2883091,9.050543461,-10.2883091,24.05054346
10.78223522,8.973248934,-10.78223522,23.97324893
11.27118684,8.86901951,-11.27118684,23.86901951
11.75369627,8.738168053,-11.75369627,23.73816805
12.22831517,8.58108734,-12.22831517,23.58108734
12.69361889,8.398248877,-12.69361889,23.39824888
13.14821073,8.190201488,-13.14821073,23.19020149
13.59072614,7.957569667,-13.59072614,22.95756967
14.01983684,7.701051701,-14.01983684,22.7010517
14.43425476,7.421417579,-14.43425476,22.42141758
14.83273595,7.119506674,-14.83273595,22.11950667
15.2140843,6.796225229,-15.2140843,21.79622523
15.57715512,6.452543634,-15.57715512,21.45254363
15.92085857,6.089493514,-15.92085857,21.08949351
16.24416298,5.708164632,-16.24416298,20.70816463
16.54609788,5.309701619,-16.54609788,20.30970162
16.82575695,4.895300537,-16.82575695,19.89530054
17.08230076,4.466205288,-17.08230076,19.46620529
17.31495922,4.023703883,-17.31495922,19.02370388
17.52303398,3.569124573,-17.52303398,18.56912457
17.70590046,3.103831863,-17.70590046,18.10383186
17.86300976,2.629222417,-17.86300976,17.62922242
